代數,1000
粒子數,10
旋轉角度上界,0.004000000000000
旋轉角度下界,0.004000000000000
旋轉角度,0.001000000000000
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10664424.350000001490116
真實報酬,664424.350000001490116

預期報酬,38031.766271777043585
風險,66463.789904199846205
起點值,0.572217839617566
找到最佳解世代,686

投資組合,9
BA,CAT,DIS,DD,GS,IBM,MCD,PFE,WMT
Stock#,BA,CAT,DIS,DD,GS,IBM,MCD,PFE,WMT
張數,3278,9209,8387,14600,6065,8662,5589,26505,10897
分配資金,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111
剩餘資金,229.580000000074506,45.149999999906868,85.110000000102445,51.000000000000000,63.649999999906868,36.260000000009313,129.580000000074506,21.399999999906868,52.880000000121072
FS(1),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS(2),1129893.940000000176951,1124279.869999999878928,1130820.449999999953434,1082057.000000000000000,1151685.849999999860302,1149397.040000000037253,1115861.650000000139698,1119327.549999999813735,1117649.200000000186265,10120973.550000000745058
FS(3),1143432.080000000074506,1133857.229999999981374,1140213.890000000130385,1093007.000000000000000,1142952.250000000000000,1139002.640000000130385,1118656.150000000139698,1125953.799999999813735,1137917.620000000111759,10174993.660000000149012
FS(4),1149627.500000000000000,1136343.659999999916181,1150865.380000000121072,1060887.000000000000000,1151261.299999999813735,1145325.899999999906868,1134976.030000000027940,1132049.949999999953434,1145436.550000000046566,10206774.270000001415610
FS(5),1159658.179999999934807,1146197.289999999804422,1157826.590000000083819,1075195.000000000000000,1151261.299999999813735,1154767.479999999981374,1148557.300000000046566,1137616.000000000000000,1155788.700000000186265,10286868.839999999850988
FS(6),1159985.980000000214204,1157984.809999999823049,1149691.199999999953434,1076801.000000000000000,1177401.449999999953434,1167154.140000000130385,1125195.280000000027940,1141591.750000000000000,1171698.320000000065193,10327504.929999999701977
FS(7),1145333.320000000065193,1172166.669999999925494,1133001.070000000298023,1076509.000000000000000,1181101.099999999860302,1177635.159999999916181,1136149.719999999972060,1130989.750000000000000,1176275.060000000055879,10329161.849999999627471
FS(8),1137793.919999999925494,1170509.049999999813735,1138368.750000000000000,1072567.000000000000000,1153747.949999999953434,1168280.199999999953434,1145483.350000000093132,1141856.799999999813735,1185864.420000000158325,10314472.439999999478459
FS(9),1143792.660000000149012,1171153.679999999934807,1188858.490000000223517,1092569.000000000000000,1161207.899999999906868,1175989.379999999888241,1143024.190000000176951,1126483.899999999906868,1184011.930000000167638,10387092.130000000819564
FS(10),1138220.060000000055879,1171706.219999999972060,1188103.660000000149012,1096219.000000000000000,1162481.549999999813735,1170705.560000000055879,1147495.390000000130385,1133375.199999999953434,1188588.670000000158325,10396896.310000000521541
FS(11),1163591.780000000027940,1172535.029999999795109,1182400.500000000000000,1091401.000000000000000,1157447.600000000093132,1168973.159999999916181,1139223.670000000158325,1136555.800000000046566,1189569.400000000139698,10401698.940000001341105
FS(12),1226070.459999999962747,1200254.120000000111759,1167890.990000000223517,1084101.000000000000000,1182617.349999999860302,1181359.820000000065193,1143135.969999999972060,1141591.750000000000000,1194908.930000000167638,10521931.390000000596046
FS(13),1208369.260000000009313,1202832.640000000130385,1181981.149999999906868,1065413.000000000000000,1186620.249999999767169,1187423.220000000204891,1143359.530000000027940,1152988.899999999906868,1194582.020000000251457,10523570.970000000670552
FS(14),1229086.219999999972060,1230643.819999999832362,1191206.850000000093132,1094759.000000000000000,1186984.149999999906868,1202754.959999999962747,1146545.260000000009313,1155639.399999999906868,1202209.920000000158325,10639830.580000000074506
FS(15),1219121.100000000093132,1233038.159999999683350,1176194.120000000111759,1089795.000000000000000,1188439.750000000000000,1205786.659999999916181,1141738.719999999972060,1157494.750000000000000,1211036.489999999990687,10622645.750000000000000
FS(16),1226168.800000000046566,1237458.479999999981374,1167723.250000000000000,1090671.000000000000000,1197840.500000000000000,1207085.959999999962747,1139838.459999999962747,1159880.199999999953434,1212235.160000000149012,10638902.810000000521541
FS(17),1210860.540000000037253,1231380.540000000037253,1173761.890000000130385,1082349.000000000000000,1189167.549999999813735,1198510.580000000074506,1149842.770000000018626,1159880.199999999953434,1206568.720000000204891,10602322.790000000968575
FS(18),1229282.900000000139698,1244641.500000000000000,1177619.910000000149012,1078115.000000000000000,1194929.299999999813735,1199896.500000000000000,1143359.530000000027940,1139471.349999999860302,1200466.400000000139698,10607783.390000000596046
FS(19),1193487.140000000130385,1247864.649999999906868,1168394.210000000195578,1077969.000000000000000,1208939.449999999953434,1199896.500000000000000,1152972.610000000102445,1151133.549999999813735,1199812.580000000074506,10600470.689999999478459
FS(20),1193454.360000000102445,1255139.759999999776483,1171245.790000000037253,1096073.000000000000000,1240962.649999999906868,1194526.060000000055879,1160741.320000000065193,1148218.000000000000000,1204062.410000000149012,10664424.350000001490116
